	Gene	Chrom	nSNPS	TopSNP P-Value	TopSNP Position	Binarized Heat	Negative Log	Size Adjusted Heat	HumanGene
16673	Olr1448	chr10	105	6.93E-02	44628963	0	1.159511869	1.123971389	NA
9386	LOC102555145	chr9	90	6.93E-02	97547465	0	1.159320664	1.103082661	NA
14292	Lnc004	chr15	61	6.93E-02	106819747	0	1.159289953	1.113784222	NA
20547	Slc15a1	chr15	82	6.93E-02	106819747	0	1.159289953	1.079907791	SLC15A1
902	Art2b	chr1	221	6.93E-02	166662242	0	1.159184051	1.104417844	NA
22958	Usp39	chr4	77	6.93E-02	100188487	0	1.159177785	1.094423237	USP39
9789	LOC102557426	chr19	29	6.93E-02	45860638	0	1.159032447	1.120221083	NA
18352	Prdm2	chr5	147	6.94E-02	161815042	0	1.158878393	1.014263293	PRDM2
19522	Reck	chr5	101	6.94E-02	59415578	0	1.158538539	1.057055325	RECK
56	Abcd2	chr7	194	6.95E-02	132294843	0	1.158307114	1.074891063	ABCD2
21157	Spo11	chr3	34	6.95E-02	170987459	0	1.158131439	1.106793737	SPO11
16177	Npffr1	chr20	128	6.95E-02	31217839	0	1.158016445	1.089504096	NPFFR1
7422	LOC102547670	chr19	20	6.95E-02	49333163	0	1.157989576	1.117453418	NA
22070	Tmem170a	chr19	141	6.95E-02	44097455	0	1.157854005	1.112244866	TMEM170A
6596	LOC100362342	chr1	125	6.95E-02	209700870	0	1.157849633	1.083900871	NA
11568	LOC108349081	chr20	227	6.95E-02	44280530	0	1.157799039	1.054864108	NA
12929	LOC108352023	chr9	52	6.96E-02	45741943	0	1.157456908	1.120636385	NA
17478	Pald1	chr20	103	6.96E-02	30954538	0	1.157302787	1.077499968	PALD1
22364	Tpgs2	chr18	85	6.96E-02	17337544	0	1.157244772	1.064544151	TPGS2
13780	LOC680885	chr16	58	6.96E-02	8569680	0	1.15713999	1.111809951	C10orf53
8543	LOC102551937	chr19	35	6.97E-02	53927749	0	1.157069526	1.113035592	NA
18789	RGD1306746	chr4	18	6.97E-02	118259196	0	1.156619574	1.090787783	C2orf42
20415	Sh3tc2	chr18	389	6.97E-02	57373722	0	1.156496885	1.003752767	SH3TC2
9736	LOC102556687	chr2	127	6.98E-02	94380110	0	1.156400999	1.097368991	NA
12887	LOC108351951	chr9	69	6.98E-02	80839176	0	1.156372984	1.100459258	NA
16415	Ogdhl	chr16	73	6.98E-02	8528401	0	1.155887685	1.095108797	OGDHL
16981	Olr361	chr1	34	6.99E-02	230164389	0	1.155676315	1.120121778	NA
296	Adgra3	chr14	328	6.99E-02	64712389	0	1.15536442	1.020213598	ADGRA3
8016	LOC102549917	chr8	43	6.99E-02	124587039	0	1.155348272	1.108241233	NA
20744	Slc39a8	chr2	66	6.99E-02	241097913	0	1.155274372	1.0566705	SLC39A8
2326	Clec3b	chr8	44	7.00E-02	132240569	0	1.155157028	1.113460299	CLEC3B
10731	LOC103693167	chr8	13	7.00E-02	114536907	0	1.155132197	1.118999383	NA
8051	LOC102550037	chr16	126	7.00E-02	7986620	0	1.155062058	1.112256964	NA
9666	LOC102556294	chr18	175	7.00E-02	84412671	0	1.154913748	1.097874589	NA
9236	LOC102554563	chr10	80	7.00E-02	6458157	0	1.154759287	1.108256628	NA
5829	Ing1	chr16	8	7.00E-02	83280423	0	1.154709672	1.11902161	ING1
18899	RGD1559600	chr1	9	7.01E-02	189370712	0	1.154566442	1.102803063	NA
17628	Pcnt	chr20	316	7.01E-02	12991572	0	1.154510651	1.024423775	PCNT
12205	LOC108350711	chr4	32	7.01E-02	83127973	0	1.15437988	1.104642481	NA
2908	Cyp2c22	chr1	166	7.01E-02	259284965	0	1.154202689	1.079815199	NA
1642	Ccdc102a	chr19	111	7.01E-02	10529023	0	1.154122791	1.103099326	CCDC102A
13117	LOC108352389	chr11	21	7.01E-02	37710371	0	1.154006376	1.104178621	NA
21379	Strip2	chr4	76	7.02E-02	57209948	0	1.153757552	1.074902466	STRIP2
11886	LOC108350022	chr2	38	7.02E-02	151121108	0	1.15371857	1.038352676	NA
18079	Pltp	chr3	46	7.02E-02	161317592	0	1.153644947	1.10113563	PLTP
21686	Tbx1	chr11	57	7.02E-02	86562528	0	1.153578141	1.109296229	TBX1
6358	Kptn	chr1	21	7.02E-02	78022573	0	1.153470529	1.118054539	KPTN
15804	Napa	chr1	44	7.02E-02	78022573	0	1.153470529	1.100159053	NAPA
11130	LOC103694450	chr20	49	7.02E-02	49414203	0	1.153418589	1.112961743	NA
2817	Ctu1	chr1	159	7.03E-02	99597585	0	1.153334507	1.112888706	CTU1
6031	Jup	chr10	63	7.03E-02	88290526	0	1.153307308	1.091647951	JUP
3011	Dcdc1	chr3	33	7.03E-02	96126493	0	1.153027378	1.103349212	DCDC1
12068	LOC108350428	chr3	40	7.03E-02	96126493	0	1.153027378	1.050984962	NA
3988	Fabp7	chr20	12	7.03E-02	40773681	0	1.152782818	1.114618001	FABP7
8071	LOC102550091	chr14	43	7.04E-02	44778384	0	1.152307063	1.114772729	NA
14815	Melk	chr5	246	7.04E-02	59828504	0	1.15222443	1.056845259	MELK
20729	Slc38a7	chr19	94	7.04E-02	9613200	0	1.152157225	1.10184958	SLC38A7
10689	LOC103693067	chr8	105	7.05E-02	48335127	0	1.152001275	1.107672178	NA
7399	LOC102547588	chr13	116	7.05E-02	53558280	0	1.151915003	1.099975932	NA
6003	Jak1	chr5	131	7.05E-02	120094644	0	1.151897134	1.007898463	JAK1
6705	LOC100909609	chr1	4	7.06E-02	206520696	0	1.15136819	1.072519127	NA
8494	LOC102551787	chr18	132	7.06E-02	73638974	0	1.151354036	1.093474567	NA
14000	LOC690203	chr16	5	7.06E-02	90525160	0	1.15126051	1.114527331	NA
9982	LOC103690969	chr1	96	7.06E-02	47707927	0	1.151243898	1.072292432	NA
7081	LOC102546376	chr15	2	7.06E-02	5373021	0	1.151025551	0.967427909	NA
9842	LOC103690109	chr15	2	7.06E-02	5373021	0	1.151025551	1.098043372	NA
6276	Klhl10	chr10	43	7.06E-02	88372045	0	1.150922874	1.099962658	KLHL10
6277	Klhl11	chr10	10	7.06E-02	88372045	0	1.150922874	1.105705277	KLHL11
8222	LOC102550695	chr2	73	7.06E-02	56206887	0	1.150907505	1.112004781	NA
13864	LOC685406	chr4	25	7.07E-02	82641719	0	1.150648162	1.109492565	NA
13106	LOC108352363	chr11	47	7.07E-02	87079510	0	1.150575672	1.109546573	NA
1497	Calcrl	chr3	143	7.07E-02	71813678	0	1.150384062	1.01783047	CALCRL
15467	Mrpl46	chr1	79	7.08E-02	140462514	0	1.150110918	1.107383128	MRPL46
2448	Cntf	chr1	20	7.08E-02	229605119	0	1.149830587	1.113180736	CNTF
10918	LOC103693723	chr14	46	7.08E-02	9319807	0	1.149703669	1.112070947	NA
15577	Mthfd1	chr6	182	7.08E-02	99306339	0	1.149697539	1.047294703	MTHFD1
9561	LOC102555894	chr6	35	7.08E-02	99306339	0	1.149697539	1.112770597	NA
9106	LOC102554031	chr7	67	7.09E-02	126487732	0	1.149230661	1.10841942	NA
9121	LOC102554082	chr7	25	7.09E-02	126487732	0	1.149230661	1.109617137	NA
10652	LOC103692954	chr7	52	7.09E-02	126487732	0	1.149230661	1.111559789	NA
16977	Olr354	chr1	5	7.10E-02	230034062	0	1.148928866	1.113353247	NA
2789	Cth	chr2	33	7.10E-02	264257169	0	1.148812	1.088009017	CTH
2482	Col10a1	chr20	60	7.10E-02	41198904	0	1.14870434	1.103675487	COL10A1
12705	LOC108351625	chr7	27	7.10E-02	127675336	0	1.14870434	1.109277552	NA
5549	Hsd17b13	chr14	117	7.10E-02	7118178	0	1.148494602	1.099143725	HSD17B13
18978	RGD1561246	chr5	24	7.11E-02	107006478	0	1.148278243	1.113028909	NA
20984	Snrpg	chr4	14	7.11E-02	118162227	0	1.148153	1.10592518	SNRPG
23581	Zfp212	chr4	27	7.11E-02	77604861	0	1.148123069	1.101028078	ZNF212
2756	Csrnp3	chr3	171	7.11E-02	52032341	0	1.148091919	0.875805955	CSRNP3
8430	LOC102551534	chr5	32	7.11E-02	164910495	0	1.1480339	1.10913218	NA
8450	LOC102551596	chr5	29	7.11E-02	164910495	0	1.1480339	1.112975317	NA
12703	LOC108351622	chr7	2	7.12E-02	84675914	0	1.147673134	1.109208135	NA
6125	Kcnmb2	chr2	706	7.12E-02	118508203	0	1.147477921	0.80261409	KCNMB2
3266	Dmpk	chr1	25	7.12E-02	80009016	0	1.147467553	1.101542168	DMPK
8941	LOC102553424	chr1	34	7.12E-02	80009016	0	1.147467553	1.088392374	NA
20497	Six5	chr1	21	7.12E-02	80009016	0	1.147467553	1.107631151	SIX5
86	Abhd3	chr18	158	7.12E-02	1954658	0	1.147285234	1.05802416	ABHD3
1979	Cdk14	chr4	530	7.13E-02	25821560	0	1.147140165	0.516296931	CDK14
20417	Shank1	chr1	66	7.13E-02	100327009	0	1.147072523	1.06502687	SHANK1
22642	Ttc39c	chr18	277	7.13E-02	3984245	0	1.146980523	0.99027681	TTC39C
856	Arl6	chr11	92	7.13E-02	42848768	0	1.146925089	1.086356027	ARL6
12955	LOC108352071	chr10	29	7.13E-02	19781331	0	1.146921434	1.107167357	NA
2534	Comt	chr11	95	7.13E-02	86731368	0	1.146862353	1.092516804	COMT
7415	LOC102547649	chr2	69	7.13E-02	254334865	0	1.146766135	1.105110569	NA
18880	RGD1311805	chr18	139	7.13E-02	3592397	0	1.146666895	1.092019155	NA
9392	LOC102555186	chr4	50	7.14E-02	132292577	0	1.146596892	1.107902991	NA
8205	LOC102550645	chr12	54	7.14E-02	29292959	0	1.146492214	1.106305432	NA
18111	Pnlip	chr1	79	7.14E-02	279793111	0	1.146476393	1.098620404	PNLIP
14578	Maml2	chr8	208	7.14E-02	12210841	0	1.146435625	0.785779593	MAML2
18770	RGD1305733	chr10	231	7.14E-02	3507665	0	1.146411288	0.951853476	C16orf45
17276	Olr840	chr5	27	7.14E-02	59328222	0	1.146245224	1.110663581	NA
20790	Slc5a9	chr5	30	7.14E-02	131841339	0	1.146009316	1.082987593	SLC5A9
23626	Zfp37	chr5	5	7.15E-02	77917506	0	1.145759563	0.994813528	ZFP37
1882	Cd3eap	chr1	17	7.15E-02	80273589	0	1.145740731	1.107832926	CD3EAP
3850	Ercc1	chr1	19	7.15E-02	80273589	0	1.145740731	1.099852493	ERCC1
18265	Ppp1r13l	chr1	51	7.15E-02	80273589	0	1.145740731	1.091386146	PPP1R13L
1511	Caly	chr1	7	7.15E-02	212554189	0	1.14568424	1.099832144	CALY
4574	Fuom	chr1	4	7.15E-02	212554189	0	1.14568424	1.106537555	FUOM
18339	Prap1	chr1	6	7.15E-02	212554189	0	1.14568424	1.107254378	PRAP1
4340	Fer	chr9	608	7.16E-02	111578900	0	1.14525806	0.798631286	FER
4146	Fam25a	chr16	95	7.16E-02	10692906	0	1.144991152	1.10654824	FAM25A
4892	Glud1	chr16	282	7.16E-02	10689155	0	1.144991152	1.076166574	GLUD1
16802	Olr1683	chr20	1	7.16E-02	565563	0	1.144884435	1.109323875	NA
12874	LOC108351932	chr9	40	7.17E-02	61423703	0	1.144699561	1.09641388	NA
7909	LOC102549471	chr1	52	7.17E-02	167175026	0	1.144695319	1.088660114	NA
19719	Rnf121	chr1	117	7.17E-02	167175026	0	1.144695319	1.040461271	RNF121
15943	Nectin3	chr11	90	7.17E-02	57958890	0	1.14439787	1.012080207	NECTIN3
17560	Pbx1	chr13	389	7.18E-02	86449768	0	1.144147226	0.827699319	PBX1
9255	LOC102554651	chr17	81	7.18E-02	78240197	0	1.143971135	1.105919765	NA
18793	RGD1306954	chr11	58	7.18E-02	31111629	0	1.14374311	1.099703152	NA
23678	Zfp518b	chr14	14	7.18E-02	76866824	0	1.143605869	1.08960568	ZNF518B
3852	Ercc4	chr10	30	7.19E-02	2009444	0	1.1435146	1.080972768	ERCC4
10500	LOC103692503	chr5	82	7.19E-02	161786782	0	1.143277754	1.093965028	NA
16676	Olr1450	chr10	70	7.19E-02	44676864	0	1.143231246	1.107691769	NA
9730	LOC102556650	chr14	32	7.19E-02	44843015	0	1.14314851	1.099936814	NA
16189	Nppa	chr5	73	7.20E-02	164808309	0	1.142739892	1.106806865	NPPA
4470	Fopnl	chr10	16	7.20E-02	752024	0	1.142507086	1.086959803	FOPNL
8627	LOC102552280	chr14	82	7.20E-02	11804584	0	1.142470909	1.093359978	NA
17381	Ostc	chr2	123	7.20E-02	235808248	0	1.142455837	1.092453394	OSTC
14458	Ltbp2	chr6	211	7.21E-02	108505992	0	1.142269583	1.010729985	LTBP2
13389	LOC108352861	chr14	30	7.21E-02	104988597	0	1.142176787	1.107247714	NA
14173	Lefty1	chr13	9	7.21E-02	99207907	0	1.142006311	1.102359657	LEFTY1
20979	Snrpd1	chr18	43	7.21E-02	1856269	0	1.141817842	1.096610285	SNRPD1
14472	Lurap1l	chr5	165	7.22E-02	98484352	0	1.14153499	1.059642942	LURAP1L
19686	Rmi1	chr17	24	7.22E-02	6663011	0	1.141417691	1.099436843	RMI1
7951	LOC102549633	chr2	51	7.22E-02	251171839	0	1.141341313	1.100748934	NA
14883	Mfsd5	chr7	9	7.22E-02	143873034	0	1.141331692	1.104422821	MFSD5
16794	Olr1652	chr17	2	7.22E-02	2705951	0	1.141273366	1.105724854	NA
14970	Mir138-1	chr8	61	7.23E-02	131726382	0	1.141034133	1.106316895	MIR138-1
14416	Lrrfip1	chr9	156	7.23E-02	98150830	0	1.140886331	0.9770947	LRRFIP1
12514	LOC108351273	chr6	90	7.23E-02	108395986	0	1.140627499	1.086091198	NA
21497	Syndig1l	chr6	107	7.23E-02	108395986	0	1.140627499	1.083570269	SYNDIG1L
22802	Ublcp1	chr10	89	7.24E-02	30120608	0	1.14052545	1.090507948	UBLCP1
1714	Ccdc39	chr2	376	7.24E-02	120341400	0	1.140188258	1.015992586	CCDC39
20906	Smim14	chr14	22	7.24E-02	44410776	0	1.140181061	1.058970697	SMIM14
1399	C11H22orf29	chr11	76	7.24E-02	86642129	0	1.140036547	1.099784508	NA
2770	Cstb	chr20	63	7.24E-02	10973660	0	1.139970602	1.103301676	CSTB
2987	Dbf4b	chr10	36	7.25E-02	90701275	0	1.139932239	1.092417594	DBF4B
19263	Rab17	chr9	39	7.25E-02	98135857	0	1.139904667	1.092258505	RAB17
8166	LOC102550503	chr16	51	7.25E-02	8478271	0	1.139826757	1.102292423	NA
13925	LOC688442	chr10	3	7.25E-02	1554623	0	1.139632043	1.101040545	NA
9578	LOC102555961	chr15	82	7.25E-02	25818407	0	1.13962785	1.091993736	NA
1966	Cdh5	chr19	123	7.25E-02	1031920	0	1.139530228	1.05550578	CDH5
16190	Nppb	chr5	147	7.25E-02	164795807	0	1.139367971	1.103381734	NPPB
5934	Isg20	chr1	18	7.26E-02	140612607	0	1.139283573	1.098300656	ISG20
3249	Dlgap5	chr15	125	7.26E-02	24200505	0	1.139239286	1.072561162	DLGAP5
19128	RGD1564548	chr7	94	7.26E-02	109406554	0	1.139220136	1.103597331	NA
2806	Ctsa	chr3	31	7.26E-02	161295704	0	1.138983228	1.098464137	CTSA
15983	Neurl2	chr3	27	7.26E-02	161295704	0	1.138983228	1.101632617	NEURL2
21090	Spata25	chr3	22	7.26E-02	161295704	0	1.138983228	1.102401646	SPATA25
23864	Zswim1	chr3	12	7.26E-02	161295704	0	1.138983228	1.099764258	ZSWIM1
23865	Zswim3	chr3	12	7.26E-02	161295704	0	1.138983228	1.089021947	ZSWIM3
3733	Elp4	chr3	75	7.27E-02	95795005	0	1.138757208	0.88208675	ELP4
14392	Lrrc55	chr3	24	7.27E-02	72608566	0	1.138546243	1.088618092	LRRC55
12695	LOC108351600	chr7	72	7.27E-02	86686894	0	1.138238644	1.085042623	NA
23441	Ythdf2	chr5	38	7.27E-02	150362878	0	1.13822133	1.07781792	YTHDF2
12846	LOC108351887	chr9	210	7.27E-02	13625079	0	1.138185509	1.076828342	NA
18834	RGD1309489	chr7	288	7.28E-02	83726497	0	1.138038076	0.989719389	NA
7991	LOC102549780	chr6	282	7.28E-02	114730946	0	1.137876376	0.991361795	NA
5811	Ilkap	chr9	18	7.28E-02	98543334	0	1.137776164	1.081083369	ILKAP
6312	Klk1c6	chr1	157	7.28E-02	99970121	0	1.13776841	1.085971901	NA
14562	Magel2	chr1	22	7.28E-02	123008733	0	1.137743361	1.098565554	MAGEL2
16204	Npy	chr4	49	7.29E-02	79552224	0	1.137559713	1.09570938	NPY
22866	Uhrf2	chr1	79	7.29E-02	248229842	0	1.137412493	1.03905459	UHRF2
567	Angpt1	chr7	771	7.29E-02	81448282	0	1.13739104	0.847635267	ANGPT1
2272	Ckm	chr1	42	7.29E-02	80312959	0	1.137307622	1.092313907	CKM
3851	Ercc2	chr1	52	7.29E-02	80312959	0	1.137307622	1.088874359	ERCC2
6249	Klc3	chr1	38	7.29E-02	80312959	0	1.137307622	1.092837971	KLC3
6212	Kif21a	chr7	455	7.29E-02	132150192	0	1.137204563	0.971082754	KIF21A
398	Agtrap	chr5	44	7.29E-02	164882144	0	1.137161678	1.092184027	AGTRAP
3902	Etf1	chr18	33	7.29E-02	27691995	0	1.137049127	1.075322505	ETF1
6558	LOC100361547	chr1	24	7.29E-02	148239992	0	1.137019356	1.047162938	NA
14159	Ldha	chr1	44	7.29E-02	102896271	0	1.137015784	1.092934663	LDHA
8734	LOC102552634	chr1	46	7.29E-02	102896271	0	1.137015784	1.087295452	NA
19089	RGD1563709	chr13	2	7.30E-02	43395965	0	1.136520703	1.1004923	NA
11407	LOC108348797	chr18	161	7.31E-02	57656967	0	1.136339354	1.07686661	NA
13475	LOC108353040	chr15	128	7.31E-02	61042448	0	1.136247223	1.098409694	NA
15666	Myh11	chr10	118	7.31E-02	792224	0	1.136141444	1.006384869	MYH11
8158	LOC102550475	chr2	149	7.31E-02	266068017	0	1.135961441	1.063125061	NA
22982	Utp23	chr7	48	7.31E-02	91377798	0	1.135916898	1.096001184	UTP23
5683	Ifnl3	chr1	51	7.32E-02	85228201	0	1.135662197	1.099505288	IFNL2
21482	Sycn	chr1	48	7.32E-02	85228201	0	1.135662197	1.100629717	SYCN
6542	LOC100361067	chr10	21	7.32E-02	65837468	0	1.135652107	1.099803412	NA
16075	Nlk	chr10	30	7.32E-02	65837468	0	1.135652107	0.976663393	NLK
1080	Atxn10	chr7	97	7.32E-02	126227030	0	1.135443237	0.97702477	ATXN10
18589	Ptcd1	chr12	98	7.32E-02	11233893	0	1.135429593	1.082902205	ATP5MF-PTCD1
14398	Lrrc61	chr4	104	7.32E-02	78178195	0	1.135423068	1.080085611	LRRC61
13039	LOC108352201	chr10	50	7.32E-02	19902827	0	1.135407051	1.080996245	NA
8246	LOC102550768	chr2	130	7.32E-02	25289238	0	1.135366717	1.051195692	NA
9214	LOC102554475	chr9	84	7.32E-02	96477311	0	1.135332909	1.082757332	NA
4137	Fam221b	chr5	15	7.32E-02	59162446	0	1.135300884	1.091284017	FAM221B
5405	Hint2	chr5	9	7.32E-02	59162446	0	1.135300884	1.098418116	HINT2
22208	Tmem8b	chr5	46	7.32E-02	59162446	0	1.135300884	1.072350442	TMEM8B
6479	LOC100359711	chr8	106	7.32E-02	35536526	0	1.135211937	1.053881099	NA
418	Aim1	chr20	821	7.33E-02	49110183	0	1.134942242	0.903767204	NA
9580	LOC102555972	chr20	5	7.33E-02	4757696	0	1.134759182	1.082920506	NA
6560	LOC100361558	chr13	22	7.33E-02	99110682	0	1.134650804	1.088404154	NA
19155	RGD1565059	chr2	29	7.34E-02	154506979	0	1.13440868	1.075921819	C3orf33
10856	LOC103693509	chr11	101	7.34E-02	16277146	0	1.134305715	1.098086561	NA
13063	LOC108352294	chr11	79	7.34E-02	16277146	0	1.134305715	1.086691679	NA
22981	Utp20	chr7	530	7.34E-02	29339164	0	1.134256016	1.017568919	UTP20
18415	Prm1	chr10	50	7.34E-02	4939277	0	1.13404013	1.099174307	PRM1
2959	Daam1	chr6	152	7.35E-02	94694781	0	1.133863952	0.966370741	DAAM1
3325	Dnajc28	chr11	20	7.35E-02	31778745	0	1.133646488	1.096196486	DNAJC28
19365	Ranbp1	chr11	2	7.36E-02	86907540	0	1.133412009	1.090527602	RANBP1
388	Agpat3	chr20	184	7.36E-02	11087926	0	1.133350014	1.014176121	AGPAT3
878	Arpc1a	chr12	51	7.36E-02	11267006	0	1.133332893	1.077154123	ARPC1A
4336	Fem1b	chr8	33	7.36E-02	67717591	0	1.133264417	1.085321084	FEM1B
12544	LOC108351325	chr6	2	7.36E-02	18200120	0	1.133257334	1.097613446	NA
7937	LOC102549582	chr2	69	7.36E-02	155265957	0	1.133122776	0.709662372	NA
189	Actl10	chr3	6	7.36E-02	150050796	0	1.133033094	1.095619234	ACTL10
18986	RGD1561517	chr3	7	7.36E-02	150050796	0	1.133033094	1.097044849	C20orf144
1615	Cbfa2t2	chr3	112	7.36E-02	150050796	0	1.133033094	0.992181819	CBFA2T2
12113	LOC108350504	chr3	17	7.36E-02	150050796	0	1.133033094	1.093874361	NA
15938	Necab3	chr3	10	7.36E-02	150050796	0	1.133033094	1.083375007	NECAB3
17875	Pigh	chr6	137	7.36E-02	102274912	0	1.133032504	1.084152482	PIGH
11077	LOC103694261	chr18	40	7.36E-02	86501904	0	1.133017165	1.096674525	NA
6647	LOC100363436	chr4	192	7.36E-02	130657453	0	1.13298708	0.996132547	NA
19465	Rbm38	chr3	32	7.36E-02	171040933	0	1.132858503	1.085580792	RBM38
16819	Olr1714	chr20	29	7.37E-02	1291578	0	1.132551959	1.097000434	NA
7796	LOC102549051	chr12	46	7.38E-02	9947809	0	1.132237975	1.095201603	NA
13135	LOC108352419	chr12	95	7.38E-02	9947809	0	1.132237975	1.086443105	NA
2261	Cisd3	chr10	19	7.38E-02	85631496	0	1.132143766	1.094435748	CISD3
15289	Mllt6	chr10	43	7.38E-02	85631496	0	1.132143766	1.077262105	MLLT6
17618	Pcgf2	chr10	24	7.38E-02	85631496	0	1.132143766	1.086720358	PCGF2
4353	Fga	chr2	95	7.38E-02	182006989	0	1.132081952	1.081235183	FGA
12783	LOC108351764	chr8	105	7.38E-02	98977912	0	1.132066647	1.036021854	NA
14593	Map1a	chr3	57	7.38E-02	113273260	0	1.132050754	1.077076729	MAP1A
9757	LOC102557019	chr10	22	7.38E-02	82789223	0	1.131738309	1.094451952	NA
18838	RGD1309651	chr19	80	7.39E-02	54180938	0	1.131586581	1.07054566	C16orf74
23800	Zg16b	chr10	4	7.39E-02	13318008	0	1.131558946	1.077025657	ZG16B
4117	Fam209a	chr3	56	7.39E-02	170479638	0	1.131451952	1.095141438	FAM209A
12130	LOC108350534	chr3	53	7.39E-02	170479638	0	1.131451952	1.094258962	NA
3163	Det1	chr1	96	7.39E-02	140534186	0	1.131338519	1.080441553	DET1
12865	LOC108351917	chr9	51	7.39E-02	46292022	0	1.131337932	1.093478316	NA
5680	Ifngr2	chr11	81	7.39E-02	31705451	0	1.131334993	1.078371889	IFNGR2
22171	Tmem50b	chr11	45	7.39E-02	31710094	0	1.131334993	1.063751302	TMEM50B
6306	Klk13	chr1	90	7.39E-02	99653673	0	1.131161671	1.084126917	KLK13
11503	LOC108348950	chr1	18	7.39E-02	51605954	0	1.131090599	1.09389761	NA
6722	LOC100909824	chr1	85	7.40E-02	84527891	0	1.131014842	1.07522159	NA
11419	LOC108348811	chr18	154	7.40E-02	66226527	0	1.130861018	1.009653114	NA
19141	RGD1564807	chr16	82	7.40E-02	86593214	0	1.130843995	1.092692229	NA
1555	Capza3	chr4	17	7.40E-02	174190413	0	1.130625691	1.094789043	CAPZA3
18006	Plcz1	chr4	124	7.40E-02	174190413	0	1.130625691	1.03933161	PLCZ1
18666	Ptprn2	chr6	761	7.40E-02	145133755	0	1.130551187	0.344704432	PTPRN2
1121	B3gnt9	chr19	23	7.40E-02	37199540	0	1.130491946	1.091516937	B3GNT9
19212	RGD621098	chr19	53	7.40E-02	37199540	0	1.130491946	1.067898911	C16orf70
9518	LOC102555715	chr18	43	7.41E-02	56751464	0	1.1303858	1.069146096	NA
1911	Cd96	chr11	226	7.41E-02	57102518	0	1.130064589	1.020050776	CD96
14943	Mir103a1	chr10	49	7.41E-02	20612993	0	1.130046426	1.095342239	MIR103A1
4311	Fcgbpl1	chr1	37	7.42E-02	85089288	0	1.129849605	1.057129683	NA
13167	LOC108352459	chr12	90	7.42E-02	43855472	0	1.129694437	1.08131338	NA
2119	Cfap43	chr1	427	7.42E-02	267501792	0	1.129689168	1.007442171	CFAP43
20347	Sfr1	chr1	18	7.42E-02	267501792	0	1.129689168	1.091040444	SFR1
19053	RGD1562771	chr11	7	7.42E-02	28781333	0	1.129594924	1.094456025	NA
13541	LOC108353214	chr19	6	7.42E-02	27945108	0	1.129418199	1.091502362	NA
13747	LOC679730	chr19	6	7.42E-02	27945108	0	1.129418199	1.07762671	NA
8933	LOC102553402	chr1	122	7.42E-02	233231239	0	1.129325184	1.074765792	NA
13324	LOC108352749	chr14	19	7.43E-02	44973763	0	1.12910998	1.078629655	NA
21283	St6galnac1	chr10	56	7.43E-02	105714330	0	1.12882126	1.083766304	ST6GALNAC1
17916	Pip4k2b	chr10	49	7.44E-02	85646359	0	1.128638426	1.064990236	PIP4K2B
18554	Psmb3	chr10	22	7.44E-02	85644580	0	1.128638426	1.086908567	PSMB3
13905	LOC687088	chr1	13	7.44E-02	230223897	0	1.128261317	1.092715816	NA
1004	Atp10a	chr1	213	7.45E-02	115979442	0	1.12799357	0.924159221	ATP10A
14082	Lacc1	chr15	183	7.45E-02	59191338	0	1.127959749	1.075608053	LACC1
6298	Klhl42	chr4	111	7.45E-02	181476656	0	1.127846059	1.071372126	KLHL42
14591	Mansc4	chr4	85	7.45E-02	181476656	0	1.127846059	1.083362353	MANSC4
16460	Olr1077	chr7	36	7.45E-02	13459778	0	1.1277901	1.092238575	NA
16461	Olr1078	chr7	99	7.45E-02	13459778	0	1.1277901	1.067138713	NA
21422	Sulf1	chr5	496	7.45E-02	6036059	0	1.127780774	0.905039956	SULF1
2429	Cnot11	chr9	76	7.45E-02	46289549	0	1.127762123	1.083405919	CNOT11
11338	LOC108348573	chr17	39	7.45E-02	55160645	0	1.127734147	1.089112531	NA
21225	Srp9	chr13	125	7.45E-02	100559117	0	1.127678785	1.084887746	SRP9
9037	LOC102553770	chr2	53	7.45E-02	29975892	0	1.127582646	1.052002459	NA
2149	Cgm4	chr1	32	7.45E-02	79024067	0	1.127560508	1.079922378	NA
6314	Klk4	chr1	34	7.46E-02	99835603	0	1.127430033	1.08709065	KLK4
8852	LOC102553034	chr6	117	7.46E-02	106253330	0	1.127275145	1.070123543	NA
21632	Tas2r143	chr9	8	7.46E-02	118324192	0	1.127242544	1.091736197	NA
1365	Btbd18	chr3	13	7.46E-02	72054196	0	1.127169782	1.082757357	BTBD18
21829	Tfpi	chr3	81	7.46E-02	71904425	0	1.126978333	1.042775182	TFPI
18416	Prm2	chr10	39	7.47E-02	4954856	0	1.126962043	1.091905468	PRM2
18417	Prm3	chr10	38	7.47E-02	4954856	0	1.126962043	1.09182716	PRM3
21017	Socs1	chr10	40	7.47E-02	4954856	0	1.126962043	1.090659561	SOCS1
22297	Tnp2	chr10	39	7.47E-02	4954856	0	1.126962043	1.091612314	TNP2
646	Antxr1	chr4	230	7.47E-02	118953018	0	1.126930629	0.906645484	ANTXR1
15036	Mir218-2	chr10	40	7.47E-02	20429178	0	1.126863736	1.092135455	MIR218-2
8834	LOC102552990	chr4	45	7.47E-02	57258451	0	1.126853267	1.090243575	NA
15502	Mrrf	chr3	124	7.47E-02	15481615	0	1.126609056	1.035028849	MRRF
3645	Ehd2	chr1	55	7.47E-02	77853156	0	1.12657418	1.07361208	EHD2
